"well","strain","f.j","starch","cond.SN","cond.SN.dil","x","cfu.m","cfu.sd","od600.m","od600.sd"
"A08","S",0.215988693621728,TRUE,"C","0.05",0.25,106806.976744186,4190.33501257084,0.1215,0.00476678321535836
"A08","S",0.0436893203883495,TRUE,"C","0.05",0.125,106806.976744186,4190.33501257084,0.1215,0.00476678321535836
"A08","S",0.068268403588546,TRUE,"C","0.05",0.05,106806.976744186,4190.33501257084,0.1215,0.00476678321535836
"A08","S",0.0313997787882512,TRUE,"C","0.05",0.025,106806.976744186,4190.33501257084,0.1215,0.00476678321535836
"A08","S",1,FALSE,"C","0.05",0.5,106806.976744186,4190.33501257084,0.1215,0.00476678321535836
"A08","S",0,TRUE,"C","0.05",0,NA,NA,NA,NA
"A09","S",0.472538471162267,TRUE,"C","0.025",0.5,81665.5813953489,2210.33562127573,0.0929,0.00251440295541948
"A09","S",0.194607781809083,TRUE,"C","0.025",0.25,81665.5813953489,2210.33562127573,0.0929,0.00251440295541948
"A09","S",0.0164518954084822,TRUE,"C","0.025",0.125,81665.5813953489,2210.33562127573,0.0929,0.00251440295541948
"A09","S",0.0414737895658701,TRUE,"C","0.025",0.05,81665.5813953489,2210.33562127573,0.0929,0.00251440295541948
"A09","S",0.0354685349680971,TRUE,"C","0.025",0.025,81665.5813953489,2210.33562127573,0.0929,0.00251440295541948
"A09","S",1,FALSE,"C","0.025",0.5,81665.5813953489,2210.33562127573,0.0929,0.00251440295541948
"A09","S",0,TRUE,"C","0.025",0,NA,NA,NA,NA
"A10","S",0.487040420187257,TRUE,"C","0.0125",0.5,78325.1162790698,2131.22806027162,0.0891,0.00242441287279576
"A10","S",0.26912537108929,TRUE,"C","0.0125",0.25,78325.1162790698,2131.22806027162,0.0891,0.00242441287279576
"A10","S",0.116122402374972,TRUE,"C","0.0125",0.125,78325.1162790698,2131.22806027162,0.0891,0.00242441287279576
"A10","S",0.11383877597625,TRUE,"C","0.0125",0.05,78325.1162790698,2131.22806027162,0.0891,0.00242441287279576
"A10","S",0.105674811600822,TRUE,"C","0.0125",0.025,78325.1162790698,2131.22806027162,0.0891,0.00242441287279576
"A10","S",1,FALSE,"C","0.0125",0.5,78325.1162790698,2131.22806027162,0.0891,0.00242441287279576
"A10","S",0,TRUE,"C","0.0125",0,NA,NA,NA,NA
"A11","S",0.485974437280851,TRUE,"C","0.00625",0.5,74017.6744186047,1647.19733455066,0.0842,0.00187379590967403
"A11","S",0.244316253817441,TRUE,"C","0.00625",0.25,74017.6744186047,1647.19733455066,0.0842,0.00187379590967403
"A11","S",0.125890736342043,TRUE,"C","0.00625",0.125,74017.6744186047,1647.19733455066,0.0842,0.00187379590967403
"A11","S",0.122667119104174,TRUE,"C","0.00625",0.05,74017.6744186047,1647.19733455066,0.0842,0.00187379590967403
"A11","S",0.0962560796290014,TRUE,"C","0.00625",0.025,74017.6744186047,1647.19733455066,0.0842,0.00187379590967403
"A11","S",1,FALSE,"C","0.00625",0.5,74017.6744186047,1647.19733455066,0.0842,0.00187379590967403
"A11","S",0,TRUE,"C","0.00625",0,NA,NA,NA,NA
"A12","S",0.488871697214949,TRUE,"C","0",0.5,62677.6744186047,723.714055087809,0.0713,0.000823272602348565
"A12","S",0.253749107355392,TRUE,"C","0",0.25,62677.6744186047,723.714055087809,0.0713,0.000823272602348565
"A12","S",0.0128540823613426,TRUE,"C","0",0.125,62677.6744186047,723.714055087809,0.0713,0.000823272602348565
"A12","S",-0.0124970245179716,TRUE,"C","0",0.05,62677.6744186047,723.714055087809,0.0713,0.000823272602348565
"A12","S",0.0426684122827899,TRUE,"C","0",0.025,62677.6744186047,723.714055087809,0.0713,0.000823272602348565
"A12","S",1,FALSE,"C","0",0.5,62677.6744186047,723.714055087809,0.0713,0.000823272602348565
"A12","S",0,TRUE,"C","0",0,NA,NA,NA,NA
"B01","S",0.632876047104528,TRUE,"E","0.1",0.5,151463.720930233,7448.21080798132,0.1723,0.00847283240061367
"B01","S",0.386366395532354,TRUE,"E","0.1",0.25,151463.720930233,7448.21080798132,0.1723,0.00847283240061367
"B01","S",0.242928250576666,TRUE,"E","0.1",0.125,151463.720930233,7448.21080798132,0.1723,0.00847283240061367
"B01","S",0.0362996236493868,TRUE,"E","0.1",0.05,151463.720930233,7448.21080798132,0.1723,0.00847283240061367
"B01","S",0.0455869855529926,TRUE,"E","0.1",0.025,151463.720930233,7448.21080798132,0.1723,0.00847283240061367
"B01","S",1,FALSE,"E","0.1",0.5,151463.720930233,7448.21080798132,0.1723,0.00847283240061367
"B01","S",0,TRUE,"E","0.1",0,NA,NA,NA,NA
"B02","S",0.512144344205413,TRUE,"E","0.05",0.5,127728.837209302,6366.76895216176,0.1453,0.00724262076568666
"B02","S",0.31910710154985,TRUE,"E","0.05",0.25,127728.837209302,6366.76895216176,0.1453,0.00724262076568666
"B02","S",0.171119592875318,TRUE,"E","0.05",0.125,127728.837209302,6366.76895216176,0.1453,0.00724262076568666
"B02","S",0.0773768216516306,TRUE,"E","0.05",0.05,127728.837209302,6366.76895216176,0.1453,0.00724262076568666
"B02","S",0.121096460791117,TRUE,"E","0.05",0.025,127728.837209302,6366.76895216176,0.1453,0.00724262076568666
"B02","S",1,FALSE,"E","0.05",0.5,127728.837209302,6366.76895216176,0.1453,0.00724262076568666
"B02","S",0,TRUE,"E","0.05",0,NA,NA,NA,NA
"B03","S",0.50525802254987,TRUE,"E","0.025",0.5,101972.093023256,4688.37209302326,0.116,0.00533333333333334
"B03","S",0.310656981786643,TRUE,"E","0.025",0.25,101972.093023256,4688.37209302326,0.116,0.00533333333333334
"B03","S",0.246801821335646,TRUE,"E","0.025",0.125,101972.093023256,4688.37209302326,0.116,0.00533333333333334
"B03","S",0.1145381613183,TRUE,"E","0.025",0.05,101972.093023256,4688.37209302326,0.116,0.00533333333333334
"B03","S",0.187120555073721,TRUE,"E","0.025",0.025,101972.093023256,4688.37209302326,0.116,0.00533333333333334
"B03","S",1,FALSE,"E","0.025",0.5,101972.093023256,4688.37209302326,0.116,0.00533333333333334
"B03","S",0,TRUE,"E","0.025",0,NA,NA,NA,NA
"B04","S",0.302078552226084,TRUE,"E","0.0125",0.5,65842.3255813953,499.000623745751,0.0749,0.000567646212197547
"B04","S",0.135532096255983,TRUE,"E","0.0125",0.25,65842.3255813953,499.000623745751,0.0749,0.000567646212197547
"B04","S",0.097764081043866,TRUE,"E","0.0125",0.125,65842.3255813953,499.000623745751,0.0749,0.000567646212197547
"B04","S",-0.0460297685397677,TRUE,"E","0.0125",0.05,65842.3255813953,499.000623745751,0.0749,0.000567646212197547
"B04","S",0.0891089108910892,TRUE,"E","0.0125",0.025,65842.3255813953,499.000623745751,0.0749,0.000567646212197547
"B04","S",1,FALSE,"E","0.0125",0.5,65842.3255813953,499.000623745751,0.0749,0.000567646212197547
"B04","S",0,TRUE,"E","0.0125",0,NA,NA,NA,NA
"B05","S",0.391067897165458,TRUE,"E","0.00625",0.5,58194.4186046512,1423.5020306864,0.0662,0.00161932770686548
"B05","S",0.233025708635465,TRUE,"E","0.00625",0.25,58194.4186046512,1423.5020306864,0.0662,0.00161932770686548
"B05","S",0.192430235113162,TRUE,"E","0.00625",0.125,58194.4186046512,1423.5020306864,0.0662,0.00161932770686548
"B05","S",0.128817842232476,TRUE,"E","0.00625",0.05,58194.4186046512,1423.5020306864,0.0662,0.00161932770686548
"B05","S",0.228411338167436,TRUE,"E","0.00625",0.025,58194.4186046512,1423.5020306864,0.0662,0.00161932770686548
"B05","S",1,FALSE,"E","0.00625",0.5,58194.4186046512,1423.5020306864,0.0662,0.00161932770686548
"B05","S",0,TRUE,"E","0.00625",0,NA,NA,NA,NA
"B06","S",0.345051500223914,TRUE,"E","0",0.5,41843.7209302326,1111.94507492432,0.0476,0.00126491106406735
"B06","S",0.25526197939991,TRUE,"E","0",0.25,41843.7209302326,1111.94507492432,0.0476,0.00126491106406735
"B06","S",0.195141065830721,TRUE,"E","0",0.125,41843.7209302326,1111.94507492432,0.0476,0.00126491106406735
"B06","S",0.0920846394984325,TRUE,"E","0",0.05,41843.7209302326,1111.94507492432,0.0476,0.00126491106406735
"B06","S",0.104679802955665,TRUE,"E","0",0.025,41843.7209302326,1111.94507492432,0.0476,0.00126491106406735
"B06","S",1,FALSE,"E","0",0.5,41843.7209302326,1111.94507492432,0.0476,0.00126491106406735
"B06","S",0,TRUE,"E","0",0,NA,NA,NA,NA
"B07","S",0.487930518119197,TRUE,"E","0.1",0.5,148914.418604651,4148.11652933486,0.1694,0.00471875689844971
"B07","S",0.292422881102126,TRUE,"E","0.1",0.25,148914.418604651,4148.11652933486,0.1694,0.00471875689844971
"B07","S",0.184965558550464,TRUE,"E","0.1",0.125,148914.418604651,4148.11652933486,0.1694,0.00471875689844971
"B07","S",0.0572626534890686,TRUE,"E","0.1",0.05,148914.418604651,4148.11652933486,0.1694,0.00471875689844971
"B07","S",0.0435459718478586,TRUE,"E","0.1",0.025,148914.418604651,4148.11652933486,0.1694,0.00471875689844971
"B07","S",1,FALSE,"E","0.1",0.5,148914.418604651,4148.11652933486,0.1694,0.00471875689844971
"B07","S",0,TRUE,"E","0.1",0,NA,NA,NA,NA
