"cond.SN","cond.SN.dil","strain","well","fit","fit.se"
"S","0.025","T","F09",5.94473436471572,0.261491866535803
"S","0.0125","T","F10",7.09441239636446,0.184267537743599
"S","0.00625","T","F11",6.43419566764706,0.186184292985385
"S","0","T","F12",6.6520806570623,0.668625541259036
"T","0.1","T","G01",4.01979809685596,0.710724804177894
"T","0.05","T","G02",5.87659697395723,0.277578300810104
"T","0.025","T","G03",6.29437104774942,0.446061773343228
"T","0.0125","T","G04",6.22739532500548,0.159383307590889
"T","0.00625","T","G05",5.93379614613245,0.349846142278139
"T","0","T","G06",6.72940762326277,0.459455038460211
"T","0.1","T","G07",5.72025991859164,0.58071253850783
"T","0.05","T","G08",7.17274085298256,0.378590171503789
"T","0.025","T","G09",6.02254691423096,0.109803357269061
"T","0.0125","T","G10",7.67558005380484,0.195294749373496
"T","0.00625","T","G11",6.19294623054164,0.249895112034936
"T","0","T","G12",5.83252829150397,0.711901018414506
"C","0.1","E","A07",0,0
"C","0.05","E","A08",0,0
"C","0.05","M","A08",0,0
"C","0.025","E","A09",0,0
"C","0.0125","E","A10",0,0
"C","0.00625","E","A11",0,0
"C","0","E","A12",0,0
"E","0.1","E","B07",0,0
"E","0.05","E","B08",0,0
"E","0.05","M","B08",0,0
"E","0.025","E","B09",0,0
"E","0.0125","E","B10",0,0
"E","0.00625","E","B11",0,0
"E","0","E","B12",0,0
"M","0.1","E","D07",0,0
"M","0.05","E","D08",0,0
"M","0.025","E","D09",0,0
"M","0.0125","E","D10",0,0
"M","0.00625","E","D11",0,0
"M","0","E","D12",0,0
"P","0.1","E","E07",0,0
"P","0.05","E","E08",0,0
"P","0.025","E","E09",0,0
"P","0.0125","E","E10",0,0
"P","0.00625","E","E11",0,0
"P","0","E","E12",0,0
"S","0.1","E","F07",0,0
"S","0.05","E","F08",0,0
"S","0.025","E","F09",0,0
"S","0.0125","E","F10",0,0
"S","0.00625","E","F11",0,0
"S","0","E","F12",0,0
"T","0.1","E","G07",0,0
"T","0.05","E","G08",0,0
"T","0.025","E","G09",0,0
"T","0.0125","E","G10",0,0
"T","0.00625","E","G11",0,0
"T","0","E","G12",0,0
